gene,genotype,experiment,AreaSum,Label,image,Area,Perim.,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,MinThr,MaxThr,BX,BY,Width,Height,Kurt,X.Area
aspa,mutant,expt2,92,1,NA,92,40.385,0.709,15.297,1494,515,78.69,8.497,1.887,0.53,0.953,0,65535,NA,NA,NA,NA,NA,NA
aspa,mutant,expt2,35,1.5,NA,17.5,15.95,0.864,5.831,1402.5,541,75.964,4,1.2585,0.795,1,0,65535,NA,NA,NA,NA,NA,NA
aspa,mutant,expt2,753,2,NA,251,57.26066667,0.773333333,19.54233333,1316.333333,542.6666667,100.076,15.17766667,1.429333333,0.739666667,0.961666667,0,65535,NA,NA,NA,NA,NA,NA
aspa,mutant,expt2,822,2,NA,274,62.82266667,0.831,21.792,1434.333333,568.3333333,33.43666667,15.66666667,1.404666667,0.733666667,0.973333333,0,65535,NA,NA,NA,NA,NA,NA
aspa,mutant,expt2,71792,34,NA,1071.522388,119.0960597,0.780328358,41.512,1194.656716,610.1343284,102.804,29.63843284,1.429358209,0.725761194,0.958701493,0,65535,NA,NA,NA,NA,NA,NA
aspa,mutant,expt2,132867,51.5,NA,1302.617647,135.3036569,0.7715,46.74683333,1025.490196,621.4215686,94.06511765,33.43995098,1.378882353,0.74504902,0.950392157,0,65535,NA,NA,NA,NA,NA,NA
cacnb4a,control,expt1,139112.587,44,NA,1598.995253,141.2482759,0.750908046,49.50956322,1140.126437,531.0229885,99.28173563,34.33514943,1.46254023,0.711022989,0.943574713,0,65535,1612.676747,734.5798161,41.20735632,40.409,-0.087885057,100
cacnb4a,control,expt1,1024.855,12,NA,44.55891304,23.89321739,0.727391304,9.125608696,1244.869565,473.1304348,84.72286957,5.277130435,1.693217391,0.62873913,0.941608696,0,65535,1764.508652,668.2932174,7.519304348,6.286565217,-0.857913043,100
cacnb4a,control,expt1,42832.781,16,NA,1381.702613,123.1555806,0.75516129,42.75422581,921.7096774,665.6774194,105.8965161,29.85125806,1.462677419,0.711612903,0.939806452,0,65535,1304.350129,930.8882258,38.64035484,33.74741935,-0.062903226,100
cacnb4a,control,expt1,254.096,2.5,NA,63.524,30.6835,0.7415,10.524,1562,544.25,79.23525,8.02725,1.3745,0.76525,0.917,0,65535,2208.35575,765.587,8.84025,8.8405,0.078,100
cacnb4a,control,expt1,418151.024,70.5,NA,2986.793029,209.9859143,0.744085714,72.94478571,871.7285714,552.7571429,89.60513571,51.34044286,1.451514286,0.714457143,0.93295,0,65535,1226.464593,753.3819286,61.19640714,61.46924286,0.455078571,100
cacnb4a,control,expt1,14103.297,18,NA,402.9513429,61.49622857,0.705057143,21.84291429,1080.257143,677.9142857,94.3628,15.26525714,1.665529412,0.685176471,0.911941176,0,65535,1526.425171,948.1455429,17.78194286,18.1862,-0.339470588,100
