gene,genotype,experiment,droplet_count,mean_droplet_area,total_adipose_area,mean_feret,mean_circularity,mean_roundness,data_source
cxcl14,mutant,expt1,50.0,1357.587091,134401.122,40.70772727,0.744232323,0.719767677,morphology
cxcl14,mutant,expt1,102.0,1828.285714,371142.0,54.49795567,0.759049261,0.73920197,morphology
cxcl14,mutant,expt1,89.5,1160.421348,206555.0,41.53222472,0.755719101,0.715668539,morphology
cxcl14,mutant,expt1,87.0,1202.109827,207965.0,41.22721387,0.757069364,0.719017341,morphology
cxcl14,mutant,expt2,26.5,428.9615385,22306.0,21.63921154,0.783711538,0.747346154,morphology
cxcl14,mutant,expt2,49.0,630.2371134,61133.0,29.22865979,0.768845361,0.715237113,morphology
cxcl14,mutant,expt2,135.0,1757.60223,472795.0,56.42523792,0.730769517,0.704702602,morphology
cxcl14,mutant,expt2,54.0,895.3084112,95798.0,35.51763551,0.737074766,0.687542056,morphology
cxcl14,mutant,expt2,82.5,1384.676829,227087.0,49.9992561,0.740219512,0.69297561,morphology
cxcl14,mutant,expt2,67.5,1404.19403,188162.0,45.78423134,0.757723881,0.716477612,morphology
cxcl14,mutant,expt2,31.5,598.9193548,37133.0,28.60632258,0.797435484,0.782112903,morphology
cxcl14,mutant,expt2,60.0,440.1848739,52382.0,21.95958824,0.783487395,0.753605042,morphology
cxcl14,mutant,expt2,76.0,1673.860927,252753.0,51.6142649,0.762741722,0.724006623,morphology
cxcl14,mutant,expt2,1.0,12.0,12.0,5.657,0.686,0.675,morphology
cxcl14,mutant,expt2,111.0,2315.977376,511831.0,62.2161448,0.737520362,0.714954751,morphology
cxcl14,mutant,expt2,56.0,561.7567568,62355.0,26.08983784,0.776243243,0.751837838,morphology
cxcl14,mutant,expt2,99.0,1878.208122,370007.0,56.11681218,0.74719797,0.707187817,morphology
foxp1b,mutant,expt2,1.5,142.2305,284.461,18.1565,0.7015,0.6345,morphology
foxp1b,mutant,expt2,44.5,4144.690614,364732.774,88.69244318,0.750863636,0.674875,morphology
foxp1b,mutant,expt2,34.5,2903.884559,197464.15,72.63110294,0.769911765,0.714014706,morphology
foxp1b,mutant,expt2,46.0,3614.32667,328903.727,82.58985714,0.75189011,0.686659341,morphology
foxp1b,mutant,expt2,44.0,3303.371805,287393.347,79.71881609,0.751494253,0.688770115,morphology
foxp1b,mutant,expt2,41.0,3126.161568,253219.087,74.65980247,0.753580247,0.717950617,morphology
foxp1b,mutant,expt2,70.0,2911.841705,404745.997,74.67305755,0.731884892,0.681661871,morphology
foxp1b,mutant,expt2,55.0,5507.701303,600339.442,101.0472294,0.751669725,0.714119266,morphology
foxp1b,mutant,expt2,54.5,3102.850407,335107.844,74.45017593,0.764888889,0.709046296,morphology
foxp1b,mutant,expt2,61.0,5591.670066,676592.078,101.5858017,0.760115702,0.713710744,morphology
foxp1b,mutant,expt2,52.0,4196.228757,432211.562,87.3866699,0.765446602,0.731029126,morphology
foxp1b,mutant,expt2,15.0,1401.998448,40657.955,43.79624138,0.78162069,0.742241379,morphology
foxp1b,mutant,expt2,74.5,5027.816297,744116.812,99.26625676,0.736527027,0.690425676,morphology
foxp1b,mutant,expt2,2.0,282.4583333,847.375,20.59033333,0.802666667,0.746666667,morphology
foxp1b,mutant,expt2,20.5,742.804975,29712.199,31.624325,0.779625,0.7712,morphology
foxp1b,mutant,expt2,23.5,1435.415522,66029.114,44.59936957,0.790826087,0.750934783,morphology
foxp1b,mutant,expt2,11.0,1058.860524,22236.071,39.11247619,0.818857143,0.75852381,morphology
foxp1b,mutant,expt2,31.5,2042.991677,126665.484,58.65719355,0.787096774,0.755741935,morphology
foxp1b,mutant,expt2,51.0,2273.404703,229613.875,59.90256436,0.767871287,0.713237624,morphology
foxp1b,mutant,expt2,55.0,2630.532147,286728.004,67.93048624,0.770917431,0.713715596,morphology
prrx1b,mutant,expt1,31.0,1825.813656,111374.633,54.73316393,0.783803279,0.75,morphology
prrx1b,mutant,expt1,61.5,1348.88718,164564.236,45.77054918,0.766704918,0.728893443,morphology
prrx1b,mutant,expt1,1.5,317.1065,634.213,25.5365,0.7735,0.6615,morphology
prrx1b,mutant,expt1,58.5,1891.600612,219425.671,57.90525,0.756034483,0.727275862,morphology
prrx1b,mutant,expt1,45.0,1198.832225,106696.068,43.71989888,0.779359551,0.747382022,morphology
prrx1b,mutant,expt1,38.5,1776.035395,134978.69,55.14481579,0.747802632,0.715828947,morphology
prrx1b,mutant,expt1,43.5,1538.414953,132303.686,51.8517093,0.75405814,0.726162791,morphology
prrx1b,mutant,expt1,67.0,3180.638053,423024.861,73.31590226,0.741518797,0.728518797,morphology
prrx1b,mutant,expt1,53.0,2711.284838,284684.908,70.55077143,0.731447619,0.718380952,morphology
prrx1b,mutant,expt1,102.0,1234.073892,250517.0,44.96357635,0.766581281,0.731719212,morphology
prrx1b,mutant,expt1,74.0,1901.596605,279534.701,57.99686395,0.738748299,0.720054422,morphology
prrx1b,mutant,expt1,36.0,2087.113817,148185.081,61.7026338,0.741478873,0.694704225,morphology
prrx1b,mutant,expt1,67.5,1514.004104,202876.55,52.1864403,0.743552239,0.711507463,morphology
prrx1b,mutant,expt1,54.0,2016.012486,215713.336,58.58378505,0.754074766,0.725,morphology
prrx1b,mutant,expt1,22.0,836.1984651,35956.534,38.19548837,0.753837209,0.694930233,morphology
prrx1b,mutant,expt1,54.5,1508.610546,162929.939,48.58167593,0.763101852,0.733740741,morphology
prrx1b,mutant,expt1,38.5,905.5448684,68821.41,35.00257895,0.797921053,0.780697368,morphology
prrx1b,mutant,expt1,89.5,1307.140449,232671.0,46.34162921,0.755353933,0.721747191,morphology
prrx1b,mutant,expt1,11.5,1371.6955,30177.301,50.19686364,0.815727273,0.763909091,morphology
prrx1b,mutant,expt1,77.5,2988.988351,460304.206,73.1330974,0.74011039,0.729857143,morphology
prrx1b,mutant,expt1,58.5,2784.215328,322968.978,68.78143103,0.752103448,0.694793103,morphology
prrx1b,mutant,expt1,137.0,1552.190476,423748.0,53.81020879,0.734915751,0.696608059,morphology
prrx1b,mutant,expt1,34.0,714.1336866,47846.957,32.71385075,0.799552239,0.750402985,morphology
prrx1b,mutant,expt1,77.5,3961.824519,610120.976,83.32843506,0.744915584,0.725831169,morphology
prrx1b,mutant,expt1,7.5,366.2781429,5127.894,20.78564286,0.811357143,0.780642857,morphology
prrx1b,mutant,expt1,91.5,3752.864654,683021.367,83.73491209,0.729159341,0.706175824,morphology
prrx1b,mutant,expt1,46.5,2290.427054,210719.289,63.16366304,0.759771739,0.735978261,morphology
prrx1b,mutant,expt1,25.0,986.2987755,48328.64,40.12357143,0.765020408,0.730918367,morphology
prrx1b,mutant,expt1,1.0,993.467,993.467,57.319,0.631,0.475,morphology
foxp1b,mutant,expt1,1.5,10476.342,20952.684,169.2215,0.6125,0.483,morphology
foxp1b,mutant,expt1,32.5,3694.360016,236439.041,82.63189063,0.75703125,0.701984375,morphology
foxp1b,mutant,expt1,57.0,1600.451956,180851.071,51.32772566,0.739929204,0.691345133,morphology
foxp1b,mutant,expt1,72.5,988.8194444,142390.0,42.354875,0.748090278,0.699493056,morphology
foxp1b,mutant,expt1,37.0,1554.13537,113451.882,50.45327397,0.748452055,0.712342466,morphology
foxp1b,mutant,expt1,42.5,1161.792024,97590.53,44.4475,0.725857143,0.675642857,morphology
foxp1b,mutant,expt1,38.0,2606.99024,195524.268,68.66069333,0.719866667,0.684653333,morphology
foxp1b,mutant,expt1,49.0,1389.654979,134796.533,49.27182474,0.71756701,0.672680412,morphology
foxp1b,mutant,expt1,66.5,3177.947242,419489.036,75.68268939,0.738507576,0.715878788,morphology
foxp1b,mutant,expt1,39.0,2672.758571,205802.41,72.70005195,0.733818182,0.686961039,morphology
foxp1b,mutant,expt1,19.0,1789.001838,66193.068,60.1407027,0.736,0.655918919,morphology
foxp1b,mutant,expt1,1.0,445.334,445.334,27.439,0.802,0.866,morphology
foxp1b,mutant,expt1,81.0,1560.142857,251183.0,51.739,0.744459627,0.708869565,morphology
foxp1b,mutant,expt1,62.5,1508.685484,187077.0,52.5851371,0.738362903,0.683080645,morphology
foxp1b,mutant,expt1,20.0,1184.903897,46211.252,46.83594872,0.732769231,0.664769231,morphology
foxp1b,mutant,expt1,137.5,2367.142336,648597.0,66.72094891,0.705521898,0.693222628,morphology
foxp1b,mutant,expt1,97.5,2021.608247,392192.0,60.88085052,0.730108247,0.716608247,morphology
foxp1b,mutant,expt1,98.5,1813.709184,355487.0,58.35022449,0.729857143,0.711642857,morphology
foxp1b,mutant,expt1,29.5,1684.1725,97682.005,53.52322414,0.755517241,0.737327586,morphology
foxp1b,mutant,expt1,37.0,1711.852452,124965.229,52.69816438,0.76330137,0.729219178,morphology
foxp1b,mutant,expt1,76.0,1698.887417,256532.0,53.45444371,0.746708609,0.734403974,morphology
foxp1b,mutant,expt1,45.5,2709.284067,243835.566,69.82481111,0.732466667,0.693455556,morphology
foxp1b,mutant,expt1,53.0,3051.077952,320363.185,73.56470476,0.741447619,0.692533333,morphology
foxp1b,mutant,expt1,73.5,2444.383562,356880.0,65.47328082,0.744061644,0.725061644,morphology
foxp1b,mutant,expt1,80.0,2149.339623,341745.0,63.01604403,0.739660377,0.719150943,morphology
kazna,control,expt2,1.5,447.7265,895.453,22.931,0.8355,0.81,morphology
kazna,control,expt2,3.5,802.3015,4813.809,28.91983333,0.721,0.735833333,morphology
kazna,control,expt2,5.5,823.3356,8233.356,34.7934,0.7946,0.7361,morphology
kazna,control,expt2,13.5,1115.865115,29012.493,43.85788462,0.792769231,0.719,morphology
kazna,control,expt2,15.0,796.3005517,23092.716,32.09593103,0.785344828,0.736586207,morphology
kazna,control,expt2,30.5,1456.375667,87382.54,47.73891667,0.785966667,0.765983333,morphology
kazna,control,expt2,33.5,2700.115682,178207.635,65.87428788,0.774227273,0.750409091,morphology
kazna,control,expt2,24.0,1396.640681,65642.112,43.20261702,0.807361702,0.780723404,morphology
kazna,control,expt2,17.5,1405.853235,47799.01,41.93923529,0.812088235,0.778617647,morphology
kazna,control,expt2,70.0,4027.181388,559778.213,87.97005036,0.741021583,0.663007194,morphology
kazna,control,expt2,79.5,3615.256304,571210.496,81.8585,0.75935443,0.715727848,morphology
kazna,control,expt2,54.5,3606.650676,389518.273,82.87365741,0.745814815,0.690898148,morphology
kazna,control,expt2,1.0,768.132,768.132,42.328,0.772,0.568,morphology
kazna,control,expt2,1.5,2338.051,4676.102,62.891,0.795,0.921,morphology
kazna,control,expt2,4.5,1857.721375,14861.771,56.542125,0.76,0.66925,morphology
kazna,control,expt2,6.0,1132.746727,12460.214,38.33436364,0.784454545,0.764545455,morphology
kazna,control,expt2,1.5,200.325,400.65,21.394,0.744,0.701,morphology
kazna,control,expt2,4.5,521.345625,4170.765,24.501,0.80175,0.711375,morphology
kazna,mutant,expt1,47.5,1527.101968,143547.585,46.30365957,0.772712766,0.74406383,morphology
kazna,mutant,expt1,72.5,3970.828153,571799.254,86.79771528,0.720159722,0.723430556,morphology
kazna,mutant,expt1,63.5,3683.440421,464113.493,84.95025397,0.732944444,0.701801587,morphology
kazna,mutant,expt1,67.0,2847.620835,378733.571,73.37895489,0.730398496,0.700684211,morphology
kazna,mutant,expt1,2.5,384.6445,1538.578,25.31225,0.765,0.692,morphology
kazna,mutant,expt1,13.5,351.9013462,9149.435,21.80957692,0.779461538,0.741461538,morphology
kazna,mutant,expt1,2.0,82.69766667,248.093,12.48,0.776666667,0.818333333,morphology
kazna,mutant,expt1,47.5,766.6070213,72061.06,33.71017021,0.746787234,0.719893617,morphology
kazna,mutant,expt1,61.0,2572.459545,311267.605,68.37217355,0.736661157,0.715107438,morphology
kazna,mutant,expt1,38.5,1813.533,137828.508,54.35817105,0.742368421,0.697342105,morphology
kazna,mutant,expt1,38.5,2165.382934,164569.103,61.97640789,0.764381579,0.738855263,morphology
kazna,mutant,expt1,46.0,3110.152637,283023.89,73.20057143,0.749384615,0.727252747,morphology
kazna,mutant,expt2,40.5,4195.000363,335600.029,88.2507875,0.7636375,0.71615,morphology
kazna,mutant,expt2,31.5,2488.773339,154303.947,62.69867742,0.768322581,0.727951613,morphology
kazna,mutant,expt2,56.0,3160.628315,350829.743,75.07610811,0.761756757,0.720486486,morphology
kazna,mutant,expt2,53.5,2105.847396,223219.824,60.11107547,0.759386792,0.703358491,morphology
kazna,mutant,expt2,64.5,4734.226305,605980.967,97.01189844,0.738203125,0.704976563,morphology
kazna,mutant,expt2,64.5,4676.254836,598560.619,94.98003125,0.736117188,0.695757813,morphology
kazna,mutant,expt2,12.5,327.8585417,7868.605,21.570875,0.748625,0.702666667,morphology
kazna,mutant,expt2,17.0,1214.306636,40072.119,35.78660606,0.752484848,0.740787879,morphology
kazna,mutant,expt2,21.5,1727.915357,72572.445,50.95297619,0.801595238,0.752261905,morphology
kazna,mutant,expt2,31.0,3166.467836,193154.538,73.21790164,0.796081967,0.753213115,morphology
kazna,mutant,expt2,25.0,1759.844612,86232.386,52.13320408,0.780367347,0.737306122,morphology
lrmda,control,expt1,28.5,2025.030464,113401.706,53.969125,0.768803571,0.741357143,morphology
lrmda,control,expt1,74.0,2413.0,354711.0,62.50289116,0.737578231,0.689789116,morphology
lrmda,control,expt1,110.5,2806.181818,617360.0,71.91023636,0.74155,0.728090909,morphology
lrmda,control,expt1,21.5,1670.972238,70180.834,51.92854762,0.780428571,0.735690476,morphology
lrmda,control,expt1,83.5,2122.457831,352328.0,56.44935542,0.750481928,0.709006024,morphology
lrmda,control,expt1,31.5,5049.376323,313061.332,95.30725806,0.750854839,0.716258065,morphology
lrmda,control,expt1,28.0,2422.406836,133232.376,59.70761818,0.797490909,0.772981818,morphology
lrmda,control,expt1,42.5,1110.080702,93246.779,38.01444048,0.786797619,0.775892857,morphology
lrmda,control,expt1,46.5,1571.941696,144618.636,47.38881522,0.757304348,0.728197802,morphology
lrmda,control,expt1,42.5,1083.518976,91015.594,41.17791667,0.776190476,0.74277381,morphology
lrmda,control,expt1,68.0,1516.792593,204767.0,49.56646667,0.753925926,0.705459259,morphology
lrmda,control,expt1,54.0,2846.137028,304536.662,68.94349533,0.757009346,0.706850467,morphology
lrmda,control,expt1,9.5,234.3733333,4218.72,16.53483333,0.738611111,0.692555556,morphology
lrmda,control,expt1,11.5,600.915,13220.13,25.35863636,0.750363636,0.732409091,morphology
lrmda,control,expt2,135.5,1061.592593,286630.0,36.45475185,0.785596296,0.738622222,morphology
lrmda,control,expt2,1.5,13.0,26.0,5.657,0.659,0.6875,morphology
lrmda,control,expt2,40.5,495.8625,39669.0,26.7399875,0.7653875,0.718275,morphology
lrmda,control,expt2,1.0,39.0,39.0,10.296,0.645,0.578,morphology
lrmda,control,expt2,42.5,775.3214286,65127.0,31.6444881,0.766785714,0.725607143,morphology
lrmda,control,expt2,152.5,1448.315789,440288.0,48.49219408,0.737039474,0.697898026,morphology
lrmda,control,expt2,127.0,1919.671937,485677.0,58.63306719,0.743592885,0.697150198,morphology
lrmda,control,expt2,116.0,1030.493506,238044.0,37.26530303,0.761354978,0.718008658,morphology
lrmda,control,expt2,81.0,1471.372671,236891.0,49.1226646,0.766801242,0.715863354,morphology
lrmda,control,expt2,135.0,1698.356877,456858.0,52.72852416,0.75505948,0.711486989,morphology
lrmda,control,expt2,79.5,1465.126582,231490.0,49.47082911,0.757050633,0.712993631,morphology
lrmda,control,expt2,98.0,1468.189744,286297.0,49.98282051,0.7632,0.715005128,morphology
lrmda,control,expt2,105.0,1666.789474,348359.0,54.6608134,0.760794258,0.715363636,morphology
lrmda,mutant,expt1,36.0,3349.440803,237810.297,77.6076338,0.738732394,0.685591549,morphology
lrmda,mutant,expt1,65.0,2282.551078,294449.089,57.80674419,0.74644186,0.703821705,morphology
lrmda,mutant,expt1,33.0,1890.020615,122851.34,46.78570769,0.754076923,0.706769231,morphology
lrmda,mutant,expt1,42.5,565.2842143,47483.874,24.95667857,0.763666667,0.722285714,morphology
lrmda,mutant,expt1,42.0,842.4864217,69926.373,31.70749398,0.738638554,0.706963855,morphology
lrmda,mutant,expt1,91.5,2498.950549,454809.0,61.78573077,0.73117033,0.715923077,morphology
lrmda,mutant,expt1,113.5,2468.610619,557906.0,66.41233186,0.741247788,0.71849115,morphology
lrmda,mutant,expt1,167.0,2301.936937,766545.0,62.36510511,0.734960961,0.702741742,morphology
lrmda,mutant,expt1,143.0,2999.333333,854810.0,69.52393684,0.742073684,0.716659649,morphology
lrmda,mutant,expt2,160.5,2759.625,883080.0,69.12429375,0.74601875,0.711846875,morphology
lrmda,mutant,expt2,8.5,238.9375,3823.0,16.045375,0.7826875,0.757625,morphology
lrmda,mutant,expt2,3.0,155.4,777.0,12.843,0.7836,0.7848,morphology
lrmda,mutant,expt2,4.0,34.85714286,244.0,10.03542857,0.625142857,0.582285714,morphology
lrmda,mutant,expt2,24.5,1304.479167,62615.0,43.44645833,0.779791667,0.750916667,morphology
lrmda,mutant,expt2,76.5,1911.098684,290487.0,55.66319737,0.746151316,0.716203947,morphology
lrmda,mutant,expt2,92.0,2030.73224,371624.0,59.66613115,0.741469945,0.707071038,morphology
lrmda,mutant,expt2,116.5,2356.823276,546783.0,61.79284052,0.748724138,0.715327586,morphology
lrmda,mutant,expt2,115.5,2149.378261,494357.0,61.39842609,0.735391304,0.714030435,morphology
lrmda,mutant,expt2,56.0,1066.423423,118373.0,40.78596396,0.757072072,0.706468468,morphology
lrmda,mutant,expt2,22.5,933.4545455,41072.0,33.27745455,0.79975,0.761386364,morphology
lrmda,mutant,expt2,41.5,708.9268293,58132.0,31.5414878,0.771036585,0.735963415,morphology
lrmda,mutant,expt2,27.5,255.1111111,13776.0,17.31398148,0.783537037,0.747907407,morphology
mmp14b,control,expt1,50.5,1323.32374,132332.374,45.3898,0.76033,0.72395,morphology
mmp14b,control,expt1,31.0,1409.005607,85949.342,43.80247541,0.771229508,0.734098361,morphology
mmp14b,control,expt1,50.5,2136.43415,213643.415,59.21107,0.7692,0.72385,morphology
mmp14b,control,expt1,67.5,3824.973724,512546.479,79.28564179,0.746276119,0.709716418,morphology
mmp14b,control,expt1,67.5,1788.178955,239615.98,55.64883582,0.75311194,0.712350746,morphology
mmp14b,control,expt1,84.0,3144.162772,525075.183,73.89456886,0.748952096,0.709664671,morphology
mmp14b,control,expt1,100.5,2552.11841,510423.682,64.35312,0.75462,0.719085,morphology
mmp14b,control,expt1,122.0,3196.60784,776775.705,73.1427284,0.754209877,0.740300412,morphology
mmp14b,control,expt1,2.0,186.1566667,558.47,15.03233333,0.654333333,0.488333333,morphology
mmp14b,control,expt1,9.0,254.3617647,4324.15,16.44517647,0.770941176,0.703235294,morphology
mmp14b,control,expt1,1.0,41.885,41.885,9.043,0.772,0.714,morphology
mmp14b,control,expt1,7.0,534.0749231,6942.974,27.76107692,0.758307692,0.809384615,morphology
mmp14b,control,expt1,45.0,1772.378888,157741.721,53.20610112,0.76547191,0.75111236,morphology
mmp14b,control,expt1,43.5,796.1452791,68468.494,31.8675814,0.747895349,0.703988372,morphology
mmp14b,control,expt1,38.5,1374.199,104439.124,44.59956579,0.768631579,0.752276316,morphology
mmp14b,control,expt1,32.0,1169.172032,73657.838,39.56692063,0.788190476,0.736968254,morphology
mmp14b,control,expt2,46.0,1119.846154,101906.0,42.61498901,0.77367033,0.733384615,morphology
mmp14b,control,expt2,35.0,576.4637681,39776.0,30.53153623,0.769550725,0.713913043,morphology
mmp14b,control,expt2,48.5,1056.885417,101461.0,42.37157292,0.748729167,0.69575,morphology
mmp14b,control,expt2,79.0,1189.044586,186680.0,44.62379618,0.770210191,0.706649682,morphology
mmp14b,control,expt2,28.5,584.7857143,32748.0,28.778875,0.753553571,0.695839286,morphology
mmp14b,control,expt2,57.0,1520.495575,171816.0,49.8909469,0.764159292,0.711238938,morphology
mmp14b,control,expt2,109.5,1324.412844,288722.0,48.35761468,0.748174312,0.720412844,morphology
mmp14b,control,expt2,92.5,865.1793478,159193.0,38.60082609,0.756755435,0.690771739,morphology
mmp14b,control,expt2,42.5,752.8095238,63236.0,35.31666667,0.770083333,0.712119048,morphology
mmp14b,control,expt2,77.0,1410.908497,215869.0,49.93851634,0.74679085,0.708228758,morphology
mmp14b,control,expt2,2.0,85.0,255.0,10.85366667,0.703333333,0.546,morphology
mmp14b,control,expt2,4.0,134.8571429,944.0,13.80528571,0.820571429,0.709,morphology
mmp14b,control,expt2,7.0,623.4615385,8105.0,30.55592308,0.797307692,0.745230769,morphology
mmp14b,control,expt2,2.5,140.25,561.0,12.2995,0.76125,0.6635,morphology
mmp14b,control,expt2,13.0,386.92,9673.0,23.76012,0.80848,0.74684,morphology
mmp14b,control,expt2,15.5,362.0,10860.0,22.3644,0.7846,0.747066667,morphology
mmp14b,control,expt2,27.0,588.245283,31177.0,29.55267925,0.774509434,0.740377358,morphology
mmp14b,control,expt2,54.5,629.3333333,67968.0,30.1079537,0.788675926,0.726638889,morphology
mmp14b,mutant,expt1,1.5,502.056,1004.112,28.9095,0.798,0.8455,morphology
mmp14b,mutant,expt1,41.0,2150.324444,174176.28,55.29288889,0.787333333,0.756938272,morphology
mmp14b,mutant,expt1,64.5,2206.117031,282382.98,60.34208594,0.757351563,0.721765625,morphology
mmp14b,mutant,expt1,66.5,3804.163538,502149.587,80.90362121,0.761818182,0.728712121,morphology
mmp14b,mutant,expt1,60.0,2575.572622,306493.142,67.07294118,0.762882353,0.723394958,morphology
mmp14b,mutant,expt1,91.0,3793.109182,686552.762,81.35167403,0.736033149,0.741657459,morphology
mmp14b,mutant,expt1,71.5,4022.542232,571200.997,83.45825352,0.75956338,0.724450704,morphology
mmp14b,mutant,expt1,70.5,4046.241836,566473.857,86.89218571,0.744935714,0.703657143,morphology
mmp14b,mutant,expt1,18.0,921.4536857,32250.879,35.71982857,0.768228571,0.731971429,morphology
mmp14b,mutant,expt1,4.5,733.20075,5865.606,32.739125,0.8165,0.768,morphology
mmp14b,mutant,expt1,8.0,784.5992,11768.988,33.29686667,0.7664,0.723933333,morphology
mmp14b,mutant,expt1,58.5,1979.118526,229577.749,58.1455431,0.753715517,0.724646552,morphology
mmp14b,mutant,expt1,16.5,934.0850938,29890.723,35.380875,0.78728125,0.76003125,morphology
mmp14b,mutant,expt1,35.0,2617.250058,180590.254,65.77581159,0.784652174,0.764246377,morphology
mmp14b,mutant,expt1,70.0,2098.249058,291656.619,60.62482734,0.741625899,0.710510791,morphology
mmp14b,mutant,expt1,80.0,3231.699006,513840.142,75.85610063,0.746371069,0.727389937,morphology
mmp14b,mutant,expt2,44.0,1266.333333,110171.0,44.62933333,0.777367816,0.74254023,morphology
mmp14b,mutant,expt2,47.0,1463.795699,136133.0,50.17226882,0.765774194,0.730182796,morphology
mmp14b,mutant,expt2,37.5,842.2297297,62325.0,35.36809459,0.779864865,0.744486486,morphology
mmp14b,mutant,expt2,81.5,2257.95679,365789.0,63.35832099,0.755969136,0.71282716,morphology
mmp14b,mutant,expt2,53.5,1623.235849,172063.0,51.01760377,0.772245283,0.738877358,morphology
mmp14b,mutant,expt2,73.5,2228.924658,325423.0,62.59867123,0.748773973,0.710205479,morphology
mmp14b,mutant,expt2,1.0,38.0,38.0,10.44,0.624,0.467,morphology
mmp14b,mutant,expt2,2.0,37.66666667,113.0,10.531,0.672,0.546,morphology
mmp14b,mutant,expt2,26.5,691.8846154,35978.0,33.56484615,0.763384615,0.702942308,morphology
mmp14b,mutant,expt2,61.5,1146.893443,139921.0,45.30163934,0.749704918,0.70345082,morphology
mmp14b,mutant,expt2,21.5,807.2619048,33905.0,33.06061905,0.782928571,0.745619048,morphology
mmp14b,mutant,expt2,34.0,970.6865672,65036.0,37.92820896,0.770626866,0.723029851,morphology
mmp14b,mutant,expt2,46.0,549.5274725,50007.0,28.67536264,0.790758242,0.750153846,morphology
mmp14b,mutant,expt2,55.5,1607.772727,176855.0,49.86559091,0.771054545,0.736990909,morphology
nav3,control,expt2,1.5,447.7265,895.453,22.931,0.8355,0.81,morphology
nav3,control,expt2,3.5,802.3015,4813.809,28.91983333,0.721,0.735833333,morphology
nav3,control,expt2,5.5,823.3356,8233.356,34.7934,0.7946,0.7361,morphology
nav3,control,expt2,13.5,1115.865115,29012.493,43.85788462,0.792769231,0.719,morphology
nav3,control,expt2,15.0,796.3005517,23092.716,32.09593103,0.785344828,0.736586207,morphology
nav3,control,expt2,30.5,1456.375667,87382.54,47.73891667,0.785966667,0.765983333,morphology
nav3,control,expt2,33.5,2700.115682,178207.635,65.87428788,0.774227273,0.750409091,morphology
nav3,control,expt2,24.0,1396.640681,65642.112,43.20261702,0.807361702,0.780723404,morphology
nav3,control,expt2,17.5,1405.853235,47799.01,41.93923529,0.812088235,0.778617647,morphology
nav3,control,expt2,70.0,4027.181388,559778.213,87.97005036,0.741021583,0.663007194,morphology
nav3,control,expt2,79.5,3615.256304,571210.496,81.8585,0.75935443,0.715727848,morphology
nav3,control,expt2,54.5,3606.650676,389518.273,82.87365741,0.745814815,0.690898148,morphology
nav3,control,expt2,1.0,768.132,768.132,42.328,0.772,0.568,morphology
nav3,control,expt2,1.5,2338.051,4676.102,62.891,0.795,0.921,morphology
nav3,control,expt2,4.5,1857.721375,14861.771,56.542125,0.76,0.66925,morphology
nav3,control,expt2,6.0,1132.746727,12460.214,38.33436364,0.784454545,0.764545455,morphology
nav3,control,expt2,1.5,200.325,400.65,21.394,0.744,0.701,morphology
nav3,control,expt2,4.5,521.345625,4170.765,24.501,0.80175,0.711375,morphology
nav3,control,expt3,,20.032,20.032,5.836,0.925,0.753,morphology
nav3,control,expt3,,5971.063651,991196.566,107.8547892,0.731090361,0.706168675,morphology
nav3,control,expt3,,5027.89638,819547.11,97.97663804,0.73393865,0.70890184,morphology
nav3,control,expt3,,4102.457264,590753.846,88.57865278,0.725493056,0.709673611,morphology
nav3,control,expt3,,5190.12711,757758.558,99.77917123,0.747349315,0.705315068,morphology
nav3,control,expt3,,2059.605283,109159.08,57.0955283,0.771924528,0.720320755,morphology
nav3,control,expt3,,961.4666279,41343.065,36.01990698,0.785232558,0.749255814,morphology
nav3,control,expt3,,2683.241746,169044.23,67.40546032,0.768634921,0.714587302,morphology
nav3,control,expt3,,2083.613433,125016.806,57.60491667,0.773933333,0.718033333,morphology
nav3,control,expt3,,2323.718359,181250.032,61.67685897,0.780923077,0.729910256,morphology
nav3,control,expt3,,3813.590766,358477.532,84.38117021,0.73506383,0.694425532,morphology
nav3,control,expt3,,2167.955424,199451.899,60.04015217,0.745608696,0.704304348,morphology
nav3,control,expt3,,2306.552634,163765.237,62.55409859,0.751225352,0.711507042,morphology
nav3,mutant,expt1,1.5,55.9935,111.987,10.946,0.7385,0.6075,morphology
nav3,mutant,expt1,70.5,2642.263671,369916.914,69.35562143,0.751871429,0.69585,morphology
nav3,mutant,expt1,37.5,2558.798811,189351.112,68.50651351,0.768527027,0.708567568,morphology
nav3,mutant,expt1,63.5,5630.511214,709444.413,104.620127,0.72584127,0.718920635,morphology
nav3,mutant,expt1,62.5,2918.725081,361921.91,71.5383871,0.776362903,0.734274194,morphology
nav3,mutant,expt1,3.0,51.718,258.59,9.616,0.7374,0.6332,morphology
nav3,mutant,expt1,13.0,530.86,13271.5,25.71736,0.7706,0.73496,morphology
nav3,mutant,expt1,21.0,2109.133341,86474.467,58.0717561,0.776195122,0.730487805,morphology
nav3,mutant,expt1,18.0,1468.282829,51389.899,46.14234286,0.780714286,0.748714286,morphology
nav3,mutant,expt1,44.5,2694.934466,237154.233,69.52539773,0.747875,0.709875,morphology
nav3,mutant,expt1,43.0,3121.747412,265348.53,73.52565882,0.761176471,0.7104,morphology
nav3,mutant,expt1,27.5,1908.346241,103050.697,55.11094444,0.780574074,0.748703704,morphology
nav3,mutant,expt1,18.0,1582.937257,55402.804,45.97737143,0.796457143,0.766085714,morphology
