gene,genotype,experiment,value,measure
mmp14b,control,1.0,361.5332604620432,norm_adiposity
mmp14b,control,1.0,433.8617824600286,norm_adiposity
mmp14b,control,1.0,524.0601743312103,norm_adiposity
mmp14b,control,1.0,342.7356512086547,norm_adiposity
mmp14b,control,1.0,526.3252015213696,norm_adiposity
mmp14b,control,1.0,129.69578748124238,norm_adiposity
mmp14b,control,1.0,591.2751187008603,norm_adiposity
mmp14b,mutant,1.0,99.40491904245005,norm_adiposity
mmp14b,mutant,1.0,240.22537748319073,norm_adiposity
mmp14b,mutant,1.0,174.69806857266883,norm_adiposity
mmp14b,mutant,1.0,249.987655059882,norm_adiposity
mmp14b,mutant,1.0,335.5846788928241,norm_adiposity
mmp14b,mutant,1.0,215.75448813355345,norm_adiposity
mmp14b,mutant,1.0,374.68736049336127,norm_adiposity
mmp14b,mutant,1.0,446.23406110672465,norm_adiposity
mmp14b,mutant,1.0,489.8783833069448,norm_adiposity
mmp14b,mutant,1.0,343.5043968959515,norm_adiposity
mmp14b,mutant,1.0,456.4203566583783,norm_adiposity
mmp14b,mutant,1.0,564.6083583779917,norm_adiposity
mmp14b,mutant,1.0,403.099633637768,norm_adiposity
mmp14b,mutant,1.0,436.0193118475559,norm_adiposity
mmp14b,mutant,1.0,511.14872308076997,norm_adiposity
mmp14b,mutant,1.0,566.7657769221977,norm_adiposity
aspa,control,1.0,166.43475917502164,norm_adiposity
aspa,control,1.0,204.598388432103,norm_adiposity
aspa,control,1.0,181.0093332641758,norm_adiposity
aspa,control,1.0,182.52995471284194,norm_adiposity
aspa,control,1.0,184.9643544011652,norm_adiposity
aspa,control,1.0,163.33414174058805,norm_adiposity
aspa,control,1.0,158.16286093278697,norm_adiposity
aspa,control,1.0,353.16807313229185,norm_adiposity
aspa,control,1.0,233.09518069423063,norm_adiposity
aspa,control,1.0,2909.3661079713875,norm_adiposity
aspa,control,1.0,230.6271585608274,norm_adiposity
aspa,control,1.0,240.0736771707881,norm_adiposity
aspa,control,1.0,234.81148768361706,norm_adiposity
aspa,control,1.0,354.04974579370037,norm_adiposity
aspa,control,1.0,144.52114537879726,norm_adiposity
aspa,control,1.0,348.3140796670372,norm_adiposity
aspa,control,1.0,250.23421266606888,norm_adiposity
aspa,control,1.0,375.1383776473275,norm_adiposity
aspa,control,1.0,484.2717583401876,norm_adiposity
aspa,control,1.0,361.5332604620432,norm_adiposity
aspa,control,1.0,433.8617824600286,norm_adiposity
aspa,control,1.0,524.0601743312103,norm_adiposity
