gene,genotype,experiment,value,measure
pid1,control,2.0,434.81945923855267,norm_adiposity
pid1,control,2.0,587.4421951867788,norm_adiposity
pid1,control,2.0,367.94393599348314,norm_adiposity
pid1,control,2.0,314.4787712360269,norm_adiposity
pid1,control,2.0,520.9355946664595,norm_adiposity
pid1,control,2.0,151.15154955905126,norm_adiposity
pid1,control,2.0,259.0113983729061,norm_adiposity
pid1,control,2.0,125.22183658425583,norm_adiposity
pid1,control,2.0,217.14576170662025,norm_adiposity
pid1,mutant,2.0,398.2151184849133,norm_adiposity
pid1,mutant,2.0,578.8558331507859,norm_adiposity
pid1,mutant,2.0,360.72277870141625,norm_adiposity
pid1,mutant,2.0,341.5670153313964,norm_adiposity
pid1,mutant,2.0,467.53101744702565,norm_adiposity
